Muestra;ADC
0;1141
1;95
2;1739
3;3827
4;3447
5;1106
6;96
7;1763
8;3873
9;3447
10;1103
11;83
12;1840
13;3791
14;3421
15;1148
16;70
17;1758
18;3867
19;3431
20;999
21;116
22;1734
23;3820
24;3439
25;1144
26;80
27;1717
28;3795
29;3456
30;1132
31;75
32;1728
33;3878
34;3431
35;1119
36;84
37;1755
38;3835
39;3439
40;1060
41;89
42;1881
43;3803
44;3431
45;1165
46;114
47;1739
48;3830
49;3368
50;1137
51;90
52;1747
53;3816
54;3451
55;1144
56;74
57;1734
58;3799
59;3438
60;1147
61;103
62;1732
63;3831
64;3444
65;1057
66;103
67;1877
68;3807
69;3450
70;1002
71;77
72;1745
73;3829
74;3350
75;1137
76;79
77;1725
78;3833
79;3427
80;1149
81;91
82;1761
83;3827
84;3415
85;1119
86;89
87;1745
88;3813
89;3331
90;1128
91;91
92;1763
93;3877
94;3426
95;1092
96;84
97;1765
98;3827
99;3345
100;1093
101;128
102;1779
103;3815
104;3397
105;1092
106;96
107;1771
108;3846
109;3424
110;1087
111;102
112;1783
113;3852
114;3305
115;1105
116;102
117;1811
118;3837
119;3371
120;1075
121;112
122;1781
123;3885
124;3407
125;1083
126;84
127;1927
128;3823
129;3391
130;961
131;84
132;1814
133;3835
134;3409
135;1081
136;91
137;1793
138;3827
139;3395
140;1091
141;83
142;1947
143;3852
144;3367
145;1097
146;121
147;1847
148;3909
149;3406
150;1076
151;107
152;1786
153;3843
154;3397
155;991
156;86
157;1815
158;3856
159;3400
160;1093
161;86
162;1803
163;3852
164;3402
165;1070
166;93
167;1822
168;3853
169;3392
170;967
171;96
172;1845
173;3848
174;3323
175;1083
176;99
177;1814
178;3864
179;3363
180;983
181;105
182;1992
183;3848
184;3372
185;1055
186;91
187;1807
188;3838
189;3402
190;1081
191;87
192;1833
193;3851
194;3398
195;959
196;95
197;1865
198;3853
199;3355
200;1006
201;91
202;1919
203;3847
204;3263
205;1059
206;112
207;1814
208;3896
209;3363
210;1045
211;125
212;1820
213;3847
214;3357
215;1065
216;100
217;1850
218;3846
219;3359
220;1063
221;96
222;1852
223;3917
224;3364
225;994
226;116
227;1943
228;3875
229;3235
230;1031
231;98
232;2007
233;3862
234;3347
235;1023
236;145
237;1859
238;3872
239;3363
240;1028
241;101
242;1860
243;3866
244;3362
245;1022
246;99
247;1843
248;3865
249;3367
250;1043
251;134
252;1852
253;3889
254;3359
255;945
256;103
257;1883
258;3878
259;3349
260;1005
261;132
262;1867
263;3907
264;3359
265;1014
266;113
267;1852
268;3861
269;3353
270;1026
271;100
272;1839
273;3880
274;3347
275;1047
276;141
277;1868
278;3886
279;3342
280;1019
281;131
282;1854
283;3907
284;3373
285;899
286;98
287;1873
288;3855
289;3259
290;1039
291;106
292;1999
293;3874
294;3327
295;1036
296;122
297;1875
298;3859
299;3336
300;1012
301;104
302;1857
303;3874
304;3231
305;1011
306;134
307;1885
308;3899
309;3302
310;905
311;112
312;1881
313;3925
314;3315
315;995
316;106
317;2009
318;3859
319;3305
320;1022
321;100
322;1882
323;3889
324;3319
325;1018
326;110
327;1896
328;3869
329;3306
330;1007
331;112
332;2031
333;3864
334;3310
335;1011
336;143
337;1897
338;3873
339;3327
340;992
341;126
342;2007
343;3879
344;3189
345;980
346;107
347;1923
348;3879
349;3312
350;1007
351;108
352;1892
353;3867
354;3315
