Muestra;ADC
0;3158
1;4007
2;3267
3;1383
4;180
5;391
6;1967
7;3671
8;3959
9;2719
10;850
11;55
12;827
13;2583
14;3903
15;3673
16;2119
17;482
18;144
19;1376
20;3145
21;4039
22;3187
23;1494
24;178
25;400
26;2056
27;3627
28;3924
29;2704
30;913
31;62
32;834
33;2615
34;3913
35;3623
36;2094
37;472
38;130
39;1393
40;3175
41;4016
42;3251
43;1481
44;171
45;403
46;2001
47;3641
48;3942
49;2681
50;826
51;69
52;879
53;2631
54;3942
55;3667
56;2067
57;465
58;156
59;1430
60;3271
61;4023
62;3124
63;1449
64;153
65;422
66;2044
67;3652
68;3928
69;2663
70;902
71;64
72;866
73;2646
74;3919
75;3610
76;2038
77;432
78;150
79;1448
80;3231
81;4023
82;3135
83;1433
84;122
85;445
86;2057
87;3661
88;3903
89;2653
90;853
91;58
92;884
93;2663
94;3929
95;3635
96;2031
97;427
98;158
99;1438
100;3209
101;4032
102;3202
103;1320
104;154
105;470
106;2067
107;3695
108;3903
109;2523
110;855
111;69
112;975
113;2679
114;3951
115;3625
116;1931
117;432
118;174
119;1449
120;3242
121;4021
122;3187
123;1393
124;148
125;444
126;2077
127;3671
128;3928
129;2619
130;849
131;65
132;905
133;2732
134;3951
135;3583
136;2023
137;418
138;170
139;1467
140;3263
141;4016
142;3165
143;1272
144;150
145;468
146;2126
147;3673
148;3925
149;2619
150;835
151;60
152;925
153;2728
154;3951
155;3625
156;1871
157;397
158;204
159;1496
160;3284
161;4027
162;3155
163;1285
164;129
165;542
166;2115
167;3699
168;3901
169;2506
170;809
171;54
172;1024
173;2735
174;3940
175;3587
176;1958
177;384
178;176
179;1512
180;3259
181;4042
182;3136
183;1346
184;113
185;501
186;2157
187;3717
188;3874
189;2533
190;718
191;60
192;959
193;2855
194;3949
195;3591
196;1957
197;339
198;178
199;1531
200;3292
201;4040
202;3146
203;1338
204;121
205;490
206;2148
207;3718
208;3914
209;2539
210;808
211;69
212;1054
213;2747
214;3966
215;3590
216;1860
217;395
218;189
219;1523
220;3307
221;4025
222;3065
223;1309
224;98
225;510
226;2163
227;3732
228;3873
229;2556
230;800
231;57
232;963
233;2751
234;3959
235;3567
236;1935
237;324
238;208
239;1579
240;3318
241;4014
242;3089
243;1321
244;117
245;509
246;2274
247;3707
248;3889
249;2537
250;714
251;73
252;986
253;2875
254;3966
255;3586
256;1912
257;375
258;190
259;1565
260;3333
261;4028
262;3095
263;1321
264;114
265;575
266;2164
267;3731
268;3896
269;2468
270;747
271;56
272;989
273;2771
274;3983
275;3577
276;1900
277;366
278;235
279;1547
280;3318
281;4011
282;3117
283;1290
284;130
285;512
286;2186
287;3725
288;3887
289;2535
290;755
291;52
292;992
293;2880
294;3975
295;3539
296;1907
297;320
298;192
299;1582
300;3319
301;4031
302;3067
303;1222
304;113
305;604
306;2195
307;3743
308;3872
309;2523
310;785
311;64
312;996
313;2783
314;3976
315;3572
316;1916
317;367
318;244
319;1559
320;3340
321;4036
322;3097
323;1271
324;130
325;571
326;2171
327;3802
328;3884
329;2505
330;786
331;67
332;992
333;2807
334;4010
335;3578
336;1876
337;353
338;201
339;1571
340;3345
341;4036
342;3071
343;1285
344;123
345;523
346;2303
347;3733
348;3857
349;2495
350;691
351;60
352;1095
353;2830
354;3969
355;3481
356;1871
357;352
358;206
359;1670
360;3335
361;4009
362;3079
363;1263
364;125
365;532
366;2223
367;3761
368;3860
369;2504
370;739
371;71
372;1035
373;2824
374;4006
375;3543
376;1837
377;349
378;238
379;1603
380;3367
381;4014
382;3052
383;1244
384;102
385;567
386;2351
387;3749
388;3864
389;2448
390;731
391;74
392;1043
393;2841
394;3975
395;3528
396;1845
397;323
398;222
399;1719
400;3371
401;4019
402;3037
403;1228
404;88
405;582
406;2332
407;3759
408;3813
409;2481
410;712
411;64
412;1126
413;2846
414;3993
415;3447
416;1860
417;334
418;227
419;1632
420;3379
421;4027
422;3037
423;1247
424;103
425;566
426;2225
427;3807
428;3874
429;2419
430;731
431;73
432;1095
433;2948
