Muestra;ADC
0;612
1;3439
2;3368
3;691
4;609
5;3428
6;3494
7;675
8;595
9;3439
10;3485
11;684
12;622
13;3426
14;3355
15;653
16;659
17;3415
18;3367
19;594
20;751
21;3436
22;3457
23;537
24;624
25;3440
26;3443
27;547
28;627
29;3459
30;3480
31;656
32;650
33;3439
34;3462
35;661
36;631
37;3456
38;3439
39;611
40;644
41;3443
42;3303
43;627
44;681
45;3457
46;3337
47;633
48;671
49;3455
50;3409
51;595
52;758
53;3469
54;3271
55;609
56;663
57;3495
58;3429
59;625
60;663
61;3484
62;3428
63;607
64;676
65;3481
66;3393
67;478
68;691
69;3550
70;3396
71;580
72;743
73;3518
74;3309
75;598
76;844
77;3493
78;3373
79;584
80;817
81;3511
82;3370
83;463
84;705
85;3535
86;3360
87;575
88;731
89;3515
90;3380
91;584
92;721
93;3513
94;3371
95;451
96;714
97;3567
98;3347
99;475
100;793
101;3648
102;3337
103;564
104;896
105;3537
106;3364
107;538
108;844
109;3515
110;3327
111;562
112;747
113;3548
114;3372
115;545
116;725
117;3554
118;3345
119;553
120;758
121;3543
122;3339
123;439
124;743
125;3575
126;3327
127;448
128;754
129;3577
130;3311
131;503
132;799
133;3664
134;3318
135;387
136;793
137;3581
138;3281
139;507
140;795
141;3561
142;3299
143;502
144;781
145;3582
146;3313
147;507
148;926
149;3589
150;3246
151;485
152;830
153;3633
154;3290
155;423
156;813
157;3709
158;3290
159;461
160;803
161;3690
162;3256
163;468
164;965
165;3620
166;3245
167;471
168;845
169;3619
170;3247
171;453
172;841
173;3616
174;3239
175;467
176;999
177;3627
178;3194
179;461
180;969
181;3663
182;3067
183;452
184;883
185;3764
186;3221
187;423
188;873
189;3711
190;3221
191;407
192;863
193;3652
194;3201
195;428
196;902
197;3655
198;3200
199;421
200;905
201;3667
202;3197
203;416
204;1045
205;3655
206;3121
207;422
208;1028
209;3683
210;3129
211;418
212;927
213;3712
214;3045
215;396
216;1116
217;3713
218;3132
219;362
220;949
221;3716
222;3151
223;397
224;959
225;3720
226;3109
227;379
228;982
229;3789
230;3124
231;343
232;991
233;3733
234;3019
235;358
236;1121
237;3722
238;2932
239;369
240;1031
241;3723
242;2931
243;340
244;1045
245;3827
246;3065
247;343
248;1032
249;3747
250;3065
251;334
252;1043
253;3753
254;3057
255;328
256;1023
257;3834
258;3035
259;298
260;1039
261;3807
262;2980
263;242
264;1063
265;3751
266;2863
267;310
268;1061
269;3763
270;2899
271;322
272;1088
273;3768
274;3019
275;311
276;1057
277;3779
278;3019
279;331
280;1073
281;3779
282;3005
283;320
284;1071
285;3869
286;3041
287;284
288;1080
289;3815
290;3015
291;288
292;1101
293;3800
294;2984
295;244
296;1106
297;3879
298;2985
299;308
300;1124
301;3803
302;2991
303;311
304;1088
305;3767
306;2990
307;303
308;1094
309;3790
310;2839
311;303
312;1143
313;3805
314;2955
315;277
316;1115
317;3856
318;2976
319;210
320;1099
321;3821
322;2973
323;214
324;1127
325;3809
326;2805
327;292
328;1147
329;3815
330;2951
331;284
332;1133
333;3819
334;2958
335;280
336;1140
337;3819
338;2786
339;268
340;1217
341;3818
342;2815
343;222
344;1346
345;3848
346;2911
347;175
348;1199
349;3836
350;2887
351;198
352;1179
353;3846
354;2887
355;264
356;1193
357;3857
358;2871
359;240
360;1201
361;3843
362;2876
363;242
364;1217
365;3847
366;2727
367;246
368;1271
369;3848
370;2755
371;259
372;1219
373;3835
374;2857
375;214
376;1341
377;3865
378;2692
379;224
380;1228
381;3855
382;2857
383;241
384;1220
385;3855
386;2864
387;228
388;1261
389;3857
390;2815
391;156
392;1253
393;3896
394;2793
395;200
396;1323
397;3890
398;2685
399;217
400;1455
401;3873
402;2787
403;221
404;1444
405;3878
406;2763
407;146
408;1308
409;3899
410;2768
411;200
412;1349
413;3886
414;2765
415;195
416;1314
417;3904
418;2757
419;132
420;1347
421;3925
422;2744
423;153
424;1431
425;3969
426;2708
427;166
428;1558
429;3911
430;2688
431;182
432;1521
433;3895
434;2685
435;165
436;1393
437;3920
438;2708
439;164
440;1401
441;3938
442;2681
443;162
444;1417
445;3918
446;2673
447;103
448;1411
449;3950
450;2692
451;131
452;1409
453;3935
454;2647
455;160
456;1465
457;3957
458;2635
459;105
460;1447
461;3944
462;2627
463;145
464;1423
465;3930
466;2668
467;170
468;1444
469;3923
470;2652
471;142
472;1615
473;3930
474;2598
475;140
476;1489
477;3973
478;2631
479;124
480;1468
481;3987
482;2619
483;150
484;1459
485;3992
486;2613
487;143
488;1629
489;3959
490;2584
491;136
492;1485
493;3948
494;2610
495;128
496;1487
497;3958
498;2593
499;150
500;1667
501;3949
502;2527
503;144
504;1606
505;3967
506;2406
507;130
508;1521
509;4003
510;2559
511;137
512;1510
513;4000
514;2575
515;112
516;1521
517;3967
518;2557
519;140
520;1529
521;3965
522;2556
523;118
524;1527
525;3959
526;2537
527;116
528;1731
529;3978
530;2467
531;128
532;1669
533;3968
534;2513
535;133
536;1583
537;3964
538;2387
539;113
540;1761
541;3988
542;2511
543;120
544;1580
545;3975
546;2501
547;111
548;1563
549;3972
550;2491
551;103
552;1598
553;4013
554;2500
555;93
556;1634
557;3989
558;2425
559;104
560;1735
561;3991
562;2279
563;112
564;1645
565;4000
566;2312
567;103
568;1652
569;4016
570;2443
571;86
572;1661
573;3996
574;2429
575;109
576;1654
577;3983
578;2436
579;97
580;1657
581;4016
582;2439
583;78
584;1652
585;4003
586;2337
587;75
588;1676
589;4004
590;2224
591;96
592;1695
593;3989
594;2281
595;85
596;1718
597;3992
