Muestra;ADC
694;896
695;2031
696;3271
697;3937
698;3911
699;3196
700;2030
701;869
702;128
703;173
704;942
705;2051
706;3216
707;3918
708;3942
709;3185
710;2044
711;862
712;145
713;158
714;907
715;2077
716;3249
717;3976
718;3938
719;3179
720;2014
721;862
722;151
723;160
724;953
725;2063
726;3300
727;3931
728;3938
729;3185
730;1959
731;860
732;139
733;192
734;909
735;2092
736;3256
737;3919
738;3911
739;3187
740;2023
741;863
742;135
743;160
744;899
745;2149
746;3241
747;3941
748;3914
749;3145
750;1977
751;795
752;160
753;174
754;971
755;2091
756;3239
757;3927
758;3898
759;3174
760;2000
761;847
762;149
763;160
764;898
765;2075
766;3247
767;3953
768;3926
769;3185
770;1977
771;832
772;155
773;188
774;919
775;2108
776;3259
777;3945
778;3919
779;3167
780;1998
781;838
782;145
783;189
784;922
785;2190
786;3253
787;3950
788;3917
789;3154
790;1981
791;843
792;139
793;181
794;925
795;2095
796;3251
797;3946
798;3899
799;3160
800;1976
801;816
802;138
803;195
804;921
805;2148
806;3275
807;3965
808;3918
809;3151
810;1995
811;791
812;143
813;172
814;971
815;2105
816;3282
817;3964
818;3895
819;3163
820;1992
821;824
822;148
823;173
824;931
825;2117
826;3309
827;3976
828;3887
829;3139
830;1936
831;796
832;130
833;188
834;934
835;2191
836;3266
837;3949
838;3891
839;3111
840;1969
841;810
842;123
843;177
844;935
845;2126
846;3263
847;3949
848;3897
849;3162
850;1987
851;801
852;133
853;174
854;1003
855;2130
856;3293
857;3953
858;3891
859;3150
860;1958
861;823
862;122
863;180
864;983
865;2122
866;3341
867;3976
868;3916
869;3131
870;1983
871;811
872;128
873;182
874;915
875;2124
876;3277
877;3943
878;3891
879;3087
880;1985
881;793
882;140
883;180
884;964
885;2137
886;3306
887;3968
888;3871
889;3157
890;1965
891;830
892;124
893;171
894;954
895;2179
896;3278
897;3950
898;3904
899;3153
900;1973
901;815
902;144
903;169
904;923
905;2103
906;3268
907;3981
908;3911
909;3135
910;1970
911;784
912;121
913;204
914;934
915;2117
916;3335
917;3976
918;3914
919;3161
920;1929
921;813
922;120
923;187
924;923
925;2112
926;3275
927;3951
928;3915
929;3155
930;1968
931;815
932;125
933;188
934;947
935;2183
936;3263
937;3977
938;3905
939;3121
940;1983
941;811
942;125
943;190
944;947
945;2179
946;3289
947;3983
948;3912
949;3135
950;1947
951;807
952;139
953;170
954;943
955;2123
956;3263
957;3950
958;3926
959;3131
960;1900
961;826
962;141
963;188
964;940
965;2135
966;3298
967;3960
968;3891
969;3075
970;1967
971;817
972;128
973;203
974;957
975;2137
976;3331
977;3968
978;3918
979;3148
980;1962
981;820
982;134
983;196
984;942
985;2133
986;3296
987;3939
988;3889
989;3139
990;1925
991;795
992;111
993;192
994;1027
995;2131
996;3299
997;3979
998;3908
999;3127
1000;1933
1001;760
1002;135
1003;189
1004;947
1005;2140
1006;3305
1007;3951
1008;3886
1009;3142
1010;1935
1011;787
1012;143
1013;191
1014;972
1015;2156
1016;3340
1017;3945
1018;3895
1019;3121
1020;1891
1021;799
1022;125
1023;183
1024;969
1025;2170
1026;3336
1027;3963
1028;3864
1029;3103
1030;1917
1031;788
1032;134
1033;193
1034;978
1035;2152
1036;3306
1037;3964
1038;3879
1039;3103
1040;1917
1041;732
1042;136
1043;212
1044;973
1045;2173
1046;3331
1047;3992
1048;3896
1049;3107
1050;1831
1051;792
1052;130
1053;193
1054;1031
1055;2161
1056;3325
1057;3985
1058;3905
1059;3109
1060;1932
1061;793
1062;134
1063;210
1064;988
1065;2181
1066;3300
1067;3943
1068;3891
1069;3035
1070;1920
1071;763
1072;129
1073;223
1074;1016
1075;2250
1076;3312
1077;3955
1078;3863
1079;3109
1080;1922
1081;783
1082;118
1083;196
1084;1000
1085;2171
1086;3336
1087;3971
1088;3878
1089;3096
1090;1908
1091;755
1092;139
1093;214
1094;995
1095;2173
1096;3333
1097;4006
1098;3876
1099;3055
1100;1917
1101;727
1102;122
1103;208
1104;1013
1105;2183
1106;3342
1107;3987
1108;3891
1109;3007
1110;1877
1111;763
1112;132
1113;201
1114;1009
1115;2185
1116;3329
1117;3967
1118;3880
1119;3096
1120;1885
1121;760
1122;101
1123;214
1124;1030
1125;2204
1126;3327
1127;3981
1128;3862
1129;3023
