Muestra;ADC
648;1043
649;1018
650;1023
651;997
652;1011
653;1031
654;1015
655;1007
656;1047
657;997
658;1027
659;1018
660;1031
661;1028
662;1020
663;1025
664;994
665;1030
666;1019
667;1035
668;1041
669;1021
670;996
671;1037
672;1021
673;996
674;1033
675;1005
676;1022
677;1013
678;1006
679;1019
680;1018
681;1014
682;1027
683;1043
684;1009
685;1042
686;1010
687;1043
688;1009
689;1059
690;1019
691;1035
692;1023
693;1026
694;1040
695;1043
696;1018
697;1038
698;1020
699;1039
700;1009
701;1040
702;997
703;1012
704;1031
705;1017
706;1013
707;1011
708;1015
709;1019
710;1026
711;1027
712;1003
713;1036
714;1043
715;1039
716;1022
717;1022
718;1019
719;996
720;1044
721;1031
722;1002
723;1000
724;1044
725;1041
726;1001
727;1020
728;1020
729;1052
730;1023
731;997
732;997
733;1015
734;1025
735;1020
736;1024
737;1029
738;1012
739;1026
740;1019
741;1033
742;1017
743;1027
744;1021
745;1040
746;1031
747;1047
748;1035
749;1022
750;1037
751;1029
752;1002
753;998
754;1020
755;1045
756;1016
757;1031
758;1019
759;1006
760;1025
761;1008
762;1032
763;1039
764;1032
765;1022
766;1043
767;1017
768;1043
769;1016
770;1063
771;1038
772;990
773;1049
774;1023
775;1022
776;1019
777;1033
778;1036
779;1014
780;998
781;1035
782;1001
783;1033
784;1026
785;1011
786;1015
787;1012
788;1005
789;1019
790;990
791;1009
792;1015
793;991
794;1012
795;1018
796;1053
797;1031
798;1024
799;1033
800;997
801;1043
802;995
803;989
804;1036
805;1027
806;1012
807;1026
808;1060
809;1026
810;1026
811;1026
812;1017
813;1019
814;1043
815;1026
816;1008
817;1026
818;1043
819;1024
820;1009
821;988
822;1010
823;1021
824;1043
825;1003
826;1023
827;1047
828;1025
829;1027
830;1046
831;1023
832;1015
833;1030
834;1029
835;1007
836;1035
837;1018
838;1010
839;1005
840;1013
841;1010
842;1030
843;989
844;1025
845;1016
846;1017
847;1019
848;1008
849;1038
850;1003
851;993
852;1024
853;1052
854;1025
855;1034
856;1005
857;1032
858;1031
859;1001
860;1031
861;1011
862;1029
863;1013
864;1020
865;1035
866;1029
867;1009
868;1001
869;1029
870;1028
871;1035
872;1035
873;1008
874;1007
875;1028
876;1017
877;1042
878;1021
879;1003
880;1028
881;1049
882;1012
883;1039
884;1027
885;1005
886;1033
887;1023
888;1028
889;1026
890;1039
891;1026
892;997
893;1001
894;1009
895;993
896;1007
897;1047
898;1005
899;1021
900;1000
901;1033
902;1009
903;1030
904;1058
905;1055
906;1023
907;1041
908;1012
909;1035
910;1043
911;1032
912;1043
913;1048
914;1017
915;1025
916;1035
917;1025
918;1037
919;989
920;1032
921;1023
922;1028
923;1038
924;1021
925;994
926;1020
927;986
928;1032
929;1030
930;1019
931;1022
932;1023
933;1043
934;995
935;1035
936;1000
937;1023
938;1021
939;1016
940;1042
941;1036
942;1049
943;1027
944;1034
945;1001
946;1031
947;1015
948;1017
949;1037
950;1038
951;1027
952;1028
953;1019
954;1013
955;1015
956;1008
957;1018
958;1006
959;1028
960;1053
961;1045
962;1003
963;1019
964;997
965;1015
966;1009
967;1005
968;1020
969;1015
970;1024
971;1007
972;1009
973;1019
974;993
975;1019
976;1015
977;1010
978;1041
979;1017
980;1019
981;1013
982;1007
983;997
984;1008
985;1023
986;1000
987;1019
988;1042
989;1046
990;1025
991;1010
992;1007
993;1036
994;1029
995;1052
996;1042
997;998
998;1025
999;1008
1000;1047
1001;1025
1002;988
1003;1020
1004;1023
1005;1008
1006;1034
1007;998
1008;1004
1009;1004
1010;1036
1011;1012
1012;1050
1013;1016
1014;1014
1015;1005
1016;1035
1017;998
1018;1032
1019;1024
1020;997
1021;1039
1022;1016
1023;1019
1024;1034
1025;1043
1026;1015
1027;1027
1028;1041
1029;1047
1030;1007
1031;1031
1032;1029
1033;998
1034;1025
1035;1051
1036;1042
1037;1028
1038;1025
1039;1010
1040;1009
1041;1015
1042;1037
1043;1043
1044;1013
1045;1035
1046;1034
1047;1002
1048;1003
1049;1016
1050;1029
1051;1008
1052;1038
1053;1020
1054;1020
1055;1039
1056;1039
1057;1012
1058;1037
1059;1041
1060;998
1061;1039
1062;1007
1063;1014
1064;1009
1065;1022
1066;1006
1067;1031
1068;1012
1069;1023
1070;997
1071;1045
1072;1021
1073;1028
1074;1000
1075;1053
1076;999
1077;1029
1078;1022
1079;1019
1080;1027
1081;1024
1082;1034
1083;998
1084;990
1085;1034
1086;1005
1087;1028
1088;1007
1089;1009
1090;1021
1091;1005
1092;1049
1093;1021
1094;1038
1095;1026
1096;1038
1097;986
1098;1030
1099;1000
1100;1008
1101;1019
1102;1045
1103;1015
1104;1014
1105;1042
1106;1015
1107;1021
1108;1001
1109;1023
1110;1006
1111;1015
1112;1014
1113;1031
1114;1047
1115;1007
1116;987
1117;1035
1118;1020
1119;999
1120;1007
1121;1002
1122;1042
1123;1018
1124;1033
1125;1010
1126;1006
1127;1041
1128;1005
1129;1011
1130;1027
1131;1014
1132;1019
1133;1013
1134;1033
1135;1001
1136;1031
1137;1047
1138;1011
1139;1006
1140;1007
1141;1037
1142;1005
1143;993
1144;1003
1145;1028
1146;1029
1147;991
1148;1042
1149;1003
1150;999
1151;1033
1152;1026
1153;1033
1154;1007
1155;1047
1156;1011
1157;1027
1158;1026
1159;1021
1160;995
1161;1001
1162;1021
1163;1009
1164;1022
1165;1013
1166;1019
1167;1026
1168;999
1169;1023
1170;1023
1171;1003
1172;1037
1173;1027
1174;1040
1175;1030
1176;998
1177;1043
1178;1040
1179;1028
1180;1015
1181;1023
1182;1014
1183;1005
1184;1019
1185;1012
1186;1036
1187;1026
1188;1022
1189;1037
1190;1007
1191;1009
1192;1027
1193;1019
1194;1009
1195;1041
1196;1047
1197;1012
1198;1011
1199;1007
1200;1022
1201;1043
1202;1029
1203;1010
1204;1037
1205;1042
1206;1032
1207;1012
1208;1005
1209;1011
1210;1047
1211;1011
1212;1031
1213;1003
1214;999
1215;1007
1216;1044
1217;1027
1218;1007
1219;1044
1220;1002
1221;1013
1222;1041
1223;1019
1224;1007
1225;1022
1226;1010
1227;1018
1228;1035
1229;1032
1230;1023
1231;1013
1232;1025
1233;1023
1234;1006
1235;1009
1236;1017
1237;1014
1238;1025
1239;1038
1240;1025
1241;1013
